VIN,ALTITUDE,BEARING,HORPOSERROR,LATITUDE,LONGITUDE,ORIGIN,RESPONSE,TIMESTAMP
0009ed13859f3e4190a5,839.50000000000000000,204,2,-19.879011154174805,-44.000686645507810,SQDF,SUCCESS,2022-09-03 23:59:57.649
0009ed13859f3e4190a5,834.29998779296880000,47,1,-19.87754249572754,-43.996044158935550,SQDF,SUCCESS,2022-09-04 00:02:18.670
0009ed13859f3e4190a5,832.59997558593750000,0,2,-19.87872314453125,-44.000507354736330,SQDF,SUCCESS,2022-09-04 00:07:17.980
0009ed13859f3e4190a5,798.70001220703120000,0,1,-19.879772186279297,-43.928630828857420,SQDF,SUCCESS,2022-09-04 00:56:26.442
0009ed13859f3e4190a5,798.40002441406250000,359,1,-19.659337997436523000,-43.941856384277344,SQDF,SUCCESS,2022-09-05 02:09:34.384
0009ed13859f3e4190a5,799.20001220703120000,0,1,-19.659254074096680000,-43.941856384277344,SQDF,SUCCESS,2022-09-05 02:10:01.017
00176c4973894886ca43,745.20001220703120000,199,1,-23.4633235931396500000,-46.5796356201171900,SQDF,SUCCESS,2022-09-07 14:33:43.907
00176c4973894886ca43,751.20001220703120000,198,500,-23.4666748046875000000,-46.5810317993164060,SQDF,SUCCESS,2022-09-07 15:00:09.078
00176c4973894886ca43,745.40002441406250000,0,1,-23.460742950439453,-46.57258987426758,SQDF,SUCCESS,2022-09-12 15:43:16.646
00176c4973894886ca43,789.09997558593750000,0,1,-23.5505199432373050000,-46.369319915771484,SQDF,SUCCESS,2021-09-10 14:14:38.085
00176c4973894886ca43,789.90002441406250000,0,1,-23.5505123138427730000,-46.369312286376950,SQDF,SUCCESS,2021-09-10 14:16:54.624
00176c4973894886ca43,737.29998779296880000,342,5,-23.46071434020996,-46.5726089477539060,SQDF,SUCCESS,2021-09-11 19:29:50.182
00176c4973894886ca43,745.59997558593750000,183,1,-23.46506690979004,-46.5803260803222660,SQDF,SUCCESS,2021-09-02 13:11:00.065
00176c4973894886ca43,734.59997558593750000,253,1,-23.473276138305664,-46.5676727294921900,SQDF,SUCCESS,2021-09-08 12:21:10.987
00176c4973894886ca43,735.79998779296880000,0,1,-23.47412109375,-46.5706176757812500,SQDF,SUCCESS,2021-09-08 12:22:05.691
00176c4973894886ca43,732.29998779296880000,74,1,-23.4580287933349600000,-46.568031311035156,SQDF,SUCCESS,2021-09-09 22:28:31.164
